City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,51.01,broken clouds,-53.15,-70.92,Gostinitsa
3,Marystown,CA,33.31,clear sky,47.17,-55.15,Hotel Dreams Del Estrecho
8,Vila Franca Do Campo,PT,55.4,light rain,37.72,-25.43,Marystown Hotel & Convention Centre
9,Chalmette,US,46.4,clear sky,29.94,-89.96,Pestana Bahia Praia
11,Albany,US,54.0,moderate rain,42.6,-73.97,Marina Motel Chalmette
14,Bay Roberts,CA,30.99,broken clouds,47.6,-53.26,Bjarnabúð
18,Kuopio,FI,32.0,light snow,62.89,27.68,Stonewall Inn
25,Orbetello,IT,55.4,scattered clouds,42.44,11.22,Hotel Jahtihovi
28,Ushuaia,AR,53.6,scattered clouds,-54.8,-68.3,Argentario Golf Resort & Spa
31,Semnan,IR,37.89,light rain,35.57,53.4,Albatros Hotel
33,Havoysund,NO,30.2,overcast clouds,71.0,24.66,Semnan Tourist Hotel
42,Hamilton,US,23.0,light snow,39.18,-84.53,Arctic View Glamping & Restaurant
49,Kingsville,US,53.6,clear sky,27.52,-97.86,Six Acres Bed & Breakfast
50,Kodiak,US,41.0,light rain,57.79,-152.41,Econo Lodge Kingsville
53,Yarmouth,US,54.0,mist,41.71,-70.23,Best Western Kodiak Inn and Convention Center
55,Konevo,RU,17.62,overcast clouds,62.12,39.32,The Inn At Cape Cod
58,Severo-Kurilsk,RU,24.94,broken clouds,50.68,156.12,Dredge 7 Inn
62,San Patricio,US,51.8,few clouds,28.02,-97.52,Kak Doma
64,Roald,NO,35.6,overcast clouds,62.58,6.13,"Motel 6 Sinton, TX"
65,Bredasdorp,ZA,55.4,clear sky,-34.53,20.04,Flem Cabins
69,Orsha,BY,35.1,snow,54.52,30.41,Bredasdorp Country Manor
70,Nanortalik,GL,25.63,overcast clouds,60.14,-45.24,Rudakovo Hotel
73,Fukue,JP,46.4,broken clouds,32.69,128.84,"NTS Rooms, Nanortalik"
74,Belyy Yar,RU,23.0,clear sky,53.6,91.39,Goto Guesthouse Utojuku & SA Car Rental
77,Nikolskoye,RU,33.01,light shower snow,59.7,30.79,Pasportnyy Stol
78,Longyearbyen,SJ,35.6,broken clouds,78.22,15.64,Tourist House - Sablino
79,Staunton,US,55.0,moderate rain,38.15,-79.07,"Radisson Blu Polar Hotel, Spitsbergen"
89,Broome,US,50.0,moderate rain,42.25,-75.83,Hotel 24 South
90,Nemuro,JP,28.4,few clouds,43.32,145.57,Chenango Valley State Park
94,Saint-Francois,FR,39.2,overcast clouds,46.42,3.91,Hotel Nemuro Kaiyoutei
97,Avera,US,44.6,overcast clouds,33.19,-82.53,Manoir Du Bonheur
101,Bethel,US,55.0,mist,41.37,-73.41,Hospedería El Convento
103,Kaitangata,NZ,54.0,overcast clouds,-46.28,169.85,Courtyard by Marriott Danbury
111,Ulagan,RU,11.08,overcast clouds,50.63,87.96,Kaitangata Motor Camp
114,Jamestown,US,32.0,snow,42.1,-79.24,Gostevoy Dom
121,Storforshei,NO,33.01,snow,66.4,14.52,Hampton Inn & Suites Jamestown
132,Andenes,NO,33.8,light rain,69.31,16.12,Skogly overnatting (Stengt/closed)
135,Saint George,US,42.8,clear sky,37.1,-113.58,Hotell Marena
136,Ankang,CN,40.96,overcast clouds,32.68,109.02,Best Western Plus Abbey Inn
138,Port Hardy,CA,46.4,broken clouds,50.7,-127.42,安琪酒店
140,Panjab,AF,17.47,overcast clouds,34.39,67.02,Airport Inn
147,Ilulissat,GL,24.8,snow,69.22,-51.1,Shell Tianshui Maiji District Erma Road Walking Street Hotel
148,Medicine Hat,CA,37.99,broken clouds,50.05,-110.67,Hotel Arctic
152,La Rioja,ES,44.6,broken clouds,42.25,-2.5,Ramada Limited Medicine Hat
153,Ito,JP,55.4,scattered clouds,34.97,139.08,Casa Concejos
154,Hasaki,JP,50.0,few clouds,35.73,140.83,伊東小涌園
155,Sitka,US,35.6,few clouds,57.05,-135.33,Inubosaki Kanko Hotel
158,Praia Da Vitoria,PT,54.0,light intensity shower rain,38.73,-27.07,Westmark Sitka
160,Dunedin,NZ,55.0,broken clouds,-45.87,170.5,Hotel Branco I
167,Smithers,CA,33.8,overcast clouds,54.78,-127.17,Scenic Hotel Southern Cross
168,Santa Pola,ES,52.0,clear sky,38.19,-0.57,Prestige Hudson Bay Lodge
170,Stornoway,GB,37.99,overcast clouds,58.21,-6.39,Patilla
172,Nikel,RU,15.8,few clouds,69.41,30.22,Caladh Inn
176,Elko,US,30.2,clear sky,41.0,-115.5,Severnoe Siyanie
182,Channel-Port Aux Basques,CA,38.37,few clouds,47.57,-59.14,Ptarmigan Inn Hotels
187,Russell,US,37.4,scattered clouds,32.35,-85.2,St. Christopher's Hotel
