,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,51.01,68,61,26.4,broken clouds
1,Saint-Joseph,RE,-21.37,55.62,77.0,73,0,5.82,clear sky
2,Port Alfred,ZA,-33.59,26.89,60.01,86,0,1.01,clear sky
3,Marystown,CA,47.17,-55.15,33.31,91,0,10.09,clear sky
4,San Julian,MX,21.02,-102.17,59.67,30,2,8.84,clear sky
5,Kuching,MY,1.55,110.33,78.8,88,20,0.34,few clouds
6,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,90,3.36,light snow
7,Mount Gambier,AU,-37.83,140.77,62.6,55,90,12.75,overcast clouds
8,Vila Franca Do Campo,PT,37.72,-25.43,55.4,62,20,17.22,light rain
9,Chalmette,US,29.94,-89.96,46.4,31,1,8.05,clear sky
10,Iskateley,RU,67.68,53.15,-28.61,83,0,7.96,clear sky
11,Albany,US,42.6,-73.97,54.0,88,100,4.0,moderate rain
12,Carnarvon,AU,-24.87,113.63,78.8,88,0,14.99,clear sky
13,Husavik,IS,66.04,-17.34,48.2,61,75,26.4,broken clouds
14,Bay Roberts,CA,47.6,-53.26,30.99,63,75,12.75,broken clouds
15,Saint-Philippe,RE,-21.36,55.77,77.0,73,0,5.82,light rain
16,Chokurdakh,RU,70.63,147.92,-7.69,91,100,12.73,overcast clouds
17,East London,ZA,-33.02,27.91,65.08,74,3,3.94,clear sky
18,Kuopio,FI,62.89,27.68,32.0,97,90,9.17,light snow
19,Pisco,PE,-13.7,-76.22,68.0,88,20,18.34,few clouds
20,Vaini,TO,-21.2,-175.2,80.6,88,75,6.93,broken clouds
21,Hermanus,ZA,-34.42,19.23,62.01,86,0,4.9,clear sky
22,Salinas,US,36.68,-121.66,62.6,43,90,6.93,overcast clouds
23,Cherskiy,RU,68.75,161.3,-18.54,88,100,7.14,overcast clouds
24,Hithadhoo,MV,-0.6,73.08,81.68,72,0,9.04,clear sky
25,Orbetello,IT,42.44,11.22,55.4,93,40,3.36,scattered clouds
26,Tarakan,ID,3.3,117.63,78.58,85,100,5.93,overcast clouds
27,Rikitea,PF,-23.12,-134.97,77.5,75,100,12.17,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,53.6,30,40,17.22,scattered clouds
29,Wajid,SO,3.81,43.25,71.65,67,24,19.71,few clouds
30,Mataura,NZ,-46.19,168.86,57.99,65,96,14.0,overcast clouds
31,Semnan,IR,35.57,53.4,37.89,79,100,1.77,light rain
32,Hilo,US,19.73,-155.09,82.4,58,40,6.93,scattered clouds
33,Havoysund,NO,71.0,24.66,30.2,74,100,21.92,overcast clouds
34,Constitucion,CL,-35.33,-72.42,58.98,69,0,15.66,clear sky
35,Iqaluit,CA,63.75,-68.51,-7.01,69,75,8.05,broken clouds
36,Barrow,US,71.29,-156.79,-2.2,77,1,11.41,clear sky
37,Watsa,CD,3.04,29.54,67.1,86,94,3.2,overcast clouds
38,Chuy,UY,-33.7,-53.46,67.93,90,0,10.92,clear sky
39,Takoradi,GH,4.88,-1.76,79.23,84,2,5.26,clear sky
40,Arraial Do Cabo,BR,-22.97,-42.03,72.61,93,48,12.21,scattered clouds
41,Yellowknife,CA,62.46,-114.35,0.0,84,90,11.41,light snow
42,Hamilton,US,39.18,-84.53,23.0,73,90,12.75,light snow
43,Sao Filipe,CV,14.9,-24.5,71.11,67,100,5.12,overcast clouds
44,Bluff,NZ,-46.6,168.33,57.99,65,99,14.0,overcast clouds
45,Port Elizabeth,ZA,-33.92,25.57,57.2,93,6,3.36,clear sky
