City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coihaique,CL,2020-12-23 02:18:34,-45.58,-72.07,53.6,66,90,9.17
1,Bac Lieu,VN,2020-12-23 02:18:35,9.29,105.72,68.13,95,100,15.59
2,Coquimbo,CL,2020-12-23 02:15:06,-29.95,-71.34,57.2,87,90,6.93
3,Kapaa,US,2020-12-23 02:14:06,22.08,-159.32,80.6,69,1,9.17
4,Nikolskoye,RU,2020-12-23 02:18:36,59.7,30.79,33.01,96,90,8.95
5,Medicine Hat,CA,2020-12-23 02:15:04,50.05,-110.67,23.0,79,90,18.34
6,Pangnirtung,CA,2020-12-23 02:18:37,66.15,-65.71,-6.03,86,100,2.33
7,Qaanaaq,GL,2020-12-23 02:18:37,77.48,-69.36,1.02,72,0,8.81
8,Kaitangata,NZ,2020-12-23 02:18:37,-46.28,169.85,60.01,95,99,8.01
9,Busselton,AU,2020-12-23 02:18:38,-33.65,115.33,82.0,46,0,5.01
10,Ushuaia,AR,2020-12-23 02:18:39,-54.8,-68.3,46.4,78,40,12.75
11,Pangkalanbuun,ID,2020-12-23 02:17:24,-2.68,111.62,84.29,72,98,4.59
12,Rio Grande,BR,2020-12-23 02:18:39,-32.03,-52.1,63.0,91,0,9.95
13,The Valley,AI,2020-12-23 02:18:39,18.22,-63.06,79.0,69,20,9.17
14,Puerto Ayora,EC,2020-12-23 02:18:40,-0.74,-90.35,72.0,93,16,6.35
15,Sungairaya,ID,2020-12-23 02:18:40,0.7,108.9,84.09,69,71,5.1
16,Katsuura,JP,2020-12-23 02:18:41,35.13,140.3,50.0,66,0,3.36
17,Cape Town,ZA,2020-12-23 02:14:07,-33.93,18.42,66.99,82,0,2.24
18,Brainerd,US,2020-12-23 02:17:52,46.36,-94.2,35.6,59,1,8.05
19,Arlit,NE,2020-12-23 02:18:42,18.74,7.39,63.32,28,0,8.88
20,Rikitea,PF,2020-12-23 02:18:42,-23.12,-134.97,77.7,67,11,7.65
21,Lubumbashi,CD,2020-12-23 02:18:43,-11.66,27.48,62.47,96,100,1.34
22,Cabo San Lucas,MX,2020-12-23 02:18:43,22.89,-109.91,69.8,77,40,8.05
23,Saint-Philippe,RE,2020-12-23 02:18:43,-21.36,55.77,77.0,78,20,21.92
24,Waipawa,NZ,2020-12-23 02:18:44,-41.41,175.52,61.0,93,100,17.22
25,Wenling,CN,2020-12-23 02:18:44,28.37,121.36,59.0,80,100,8.01
26,Longyearbyen,SJ,2020-12-23 02:15:31,78.22,15.64,24.8,79,40,46.08
27,Avarua,CK,2020-12-23 02:18:26,-21.21,-159.78,80.6,69,85,4.7
28,Dumas,US,2020-12-23 02:18:45,35.87,-101.97,57.99,25,1,19.46
29,Punta Arenas,CL,2020-12-23 02:18:46,-53.15,-70.92,48.2,57,100,12.75
30,Dabakala,CI,2020-12-23 02:18:46,8.37,-4.43,75.9,24,0,1.7
31,Albany,US,2020-12-23 02:18:47,42.6,-73.97,35.6,69,90,16.11
32,Pauini,BR,2020-12-23 02:18:47,-7.71,-66.98,73.44,98,100,3.85
33,Yellowknife,CA,2020-12-23 02:18:47,62.46,-114.35,-14.01,75,90,6.93
34,Gao,ML,2020-12-23 02:18:48,16.64,1.64,63.48,26,0,11.16
35,Tuktoyaktuk,CA,2020-12-23 02:18:49,69.45,-133.04,-22.0,74,20,14.99
36,Jamestown,US,2020-12-23 02:18:49,42.1,-79.24,32.0,92,90,6.93
37,Luderitz,NA,2020-12-23 02:18:50,-26.65,15.16,60.8,93,0,8.05
38,Bathsheba,BB,2020-12-23 02:18:50,13.22,-59.52,80.6,74,40,19.46
39,Ardesen,TR,2020-12-23 02:18:50,41.19,40.99,42.8,93,90,4.7
40,Katete,UG,2020-12-23 02:18:50,-0.78,29.75,60.37,94,76,2.26
41,Tiksi,RU,2020-12-23 02:18:51,71.69,128.87,-17.48,89,100,5.35
42,Hilo,US,2020-12-23 02:16:53,19.73,-155.09,82.4,61,1,8.05
43,Ust-Nera,RU,2020-12-23 02:18:53,64.57,143.2,-25.89,76,100,3.0
44,Sorrento,IT,2020-12-23 02:18:53,40.63,14.37,55.4,82,90,2.44
45,North Bend,US,2020-12-23 02:16:12,43.41,-124.22,45.0,87,1,4.7
46,La Peca,PE,2020-12-23 02:18:33,-5.61,-78.44,70.02,78,100,3.38
47,Saskylakh,RU,2020-12-23 02:18:54,71.92,114.08,-18.92,86,100,6.78
48,Thompson,CA,2020-12-23 02:15:04,55.74,-97.86,-16.6,75,20,8.05
49,Barrow,US,2020-12-23 02:18:55,71.29,-156.79,-9.4,69,1,25.28
50,Sungaipenuh,ID,2020-12-23 02:14:48,-2.08,101.38,75.92,70,61,1.45
51,Bambous Virieux,MU,2020-12-23 02:18:55,-20.34,57.76,78.01,78,40,12.75
52,Calama,CL,2020-12-23 02:18:56,-22.47,-68.93,60.8,43,0,18.34
53,Sao Filipe,CV,2020-12-23 02:18:56,14.9,-24.5,72.72,73,85,9.19
54,Butaritari,KI,2020-12-23 02:18:57,3.07,172.79,81.25,79,0,17.58
55,Rorvik,NO,2020-12-23 02:18:57,64.86,11.24,38.61,85,100,15.14
56,Nome,US,2020-12-23 02:16:26,64.5,-165.41,30.2,92,90,24.16
57,Ilulissat,GL,2020-12-23 02:18:58,69.22,-51.1,23.0,79,100,6.93
58,Atuona,PF,2020-12-23 02:18:58,-9.8,-139.03,78.8,78,96,15.93
59,La Rioja,ES,2020-12-23 02:18:58,42.25,-2.5,44.6,100,90,2.24
60,Ariquemes,BR,2020-12-23 02:17:49,-9.91,-63.04,75.04,95,100,1.14
61,Port Alfred,ZA,2020-12-23 02:18:59,-33.59,26.89,68.0,94,27,1.99
62,Te Anau,NZ,2020-12-23 02:18:59,-45.42,167.72,57.43,76,100,3.38
63,Codrington,AU,2020-12-23 02:19:00,-38.27,141.97,61.61,64,28,11.68
64,Holme,DK,2020-12-23 02:19:00,56.11,10.17,39.0,93,56,3.36
65,Ponta Do Sol,PT,2020-12-23 02:19:00,32.67,-17.1,64.4,68,40,2.24
66,Arraial Do Cabo,BR,2020-12-23 02:19:01,-22.97,-42.03,74.34,93,100,15.73
67,Ugrinovci,RS,2020-12-23 02:19:01,44.88,20.19,48.0,100,75,3.36
68,Bluff,NZ,2020-12-23 02:19:01,-46.6,168.33,55.0,97,100,15.05
69,Pimentel,PE,2020-12-23 02:19:02,-6.84,-79.93,67.96,82,100,12.8
70,Khatanga,RU,2020-12-23 02:19:02,71.97,102.5,-24.48,83,100,12.21
71,Tura,IN,2020-12-23 02:15:33,25.52,90.22,61.36,70,0,2.55
72,Walvis Bay,NA,2020-12-23 02:19:02,-22.96,14.51,66.0,88,0,1.12
73,Mogadishu,SO,2020-12-23 02:17:57,2.04,45.34,78.64,83,80,18.92
74,Mataura,NZ,2020-12-23 02:19:03,-46.19,168.86,59.0,95,99,2.93
75,Yar-Sale,RU,2020-12-23 02:19:04,66.83,70.83,-31.95,84,9,5.26
76,Kavaratti,IN,2020-12-23 02:19:04,10.57,72.64,81.32,73,12,11.34
77,Carnarvon,AU,2020-12-23 02:19:04,-24.87,113.63,91.4,43,0,5.82
78,Port Elizabeth,ZA,2020-12-23 02:19:04,-33.92,25.57,69.8,94,90,8.05
79,Antofagasta,CL,2020-12-23 02:16:27,-23.65,-70.4,64.4,77,20,9.17
80,Hasaki,JP,2020-12-23 02:14:46,35.73,140.83,52.0,47,20,4.7
81,Lebu,CL,2020-12-23 02:19:05,-37.62,-73.65,56.77,84,0,18.07
82,Guerrero Negro,MX,2020-12-23 02:19:05,27.98,-114.06,60.21,65,0,10.07
83,Ribeira Grande,PT,2020-12-23 02:19:06,38.52,-28.7,56.16,69,9,23.06
84,Douglas,US,2020-12-23 02:17:10,41.3,-96.17,57.2,41,1,16.11
85,Morro Bay,US,2020-12-23 02:19:06,35.37,-120.85,55.0,66,0,1.01
86,Sayville,US,2020-12-23 02:19:07,40.74,-73.08,43.0,52,75,16.11
87,Semenivka,UA,2020-12-23 02:19:07,52.18,32.58,20.7,97,97,13.27
88,Bredasdorp,ZA,2020-12-23 02:19:07,-34.53,20.04,66.2,88,51,4.7
89,Menongue,AO,2020-12-23 02:19:07,-14.66,17.69,63.3,89,57,4.43
90,Hermanus,ZA,2020-12-23 02:19:08,-34.42,19.23,64.0,96,58,8.28
91,Ilebo,CD,2020-12-23 02:19:08,-4.32,20.58,69.96,96,99,1.16
92,Hobart,AU,2020-12-23 02:18:25,-42.88,147.33,69.01,42,75,17.22
93,Dubti,ET,2020-12-23 02:19:08,11.74,41.09,69.15,62,8,5.7
94,Broome,US,2020-12-23 02:19:09,42.25,-75.83,32.0,95,90,12.75
95,Lompoc,US,2020-12-23 02:19:09,34.64,-120.46,53.6,81,90,3.36
96,Albufeira,PT,2020-12-23 02:19:10,37.09,-8.25,57.2,100,40,3.62
97,Vaini,TO,2020-12-23 02:19:10,-21.2,-175.2,77.0,88,75,6.93
98,Prince George,CA,2020-12-23 02:18:11,53.92,-122.75,19.0,92,1,2.59
99,Morondava,MG,2020-12-23 02:19:11,-20.28,44.28,80.82,76,0,7.78
100,San Cristobal,VE,2020-12-23 02:16:15,7.77,-72.22,65.66,91,22,1.61
101,Keshorai Patan,IN,2020-12-23 02:19:12,25.3,75.93,53.01,46,0,1.77
102,Provideniya,RU,2020-12-23 02:19:13,64.38,-173.3,23.0,92,90,26.84
103,Coruripe,BR,2020-12-23 02:19:13,-10.13,-36.18,76.53,81,33,11.52
104,Muisne,EC,2020-12-23 02:19:14,0.6,-80.03,75.0,86,100,8.5
105,Chuy,UY,2020-12-23 02:19:14,-33.7,-53.46,57.45,85,0,5.64
106,Nuristan,AF,2020-12-23 02:19:14,35.3,70.83,3.72,80,0,9.95
107,Kodiak,US,2020-12-23 02:19:14,57.79,-152.41,39.2,60,1,16.11
108,Brae,GB,2020-12-23 02:19:15,60.4,-1.35,41.0,80,49,10.29
109,Bystryy Istok,RU,2020-12-23 02:19:15,52.37,84.39,14.99,95,100,16.93
110,Dingle,PH,2020-12-23 02:19:15,11.0,122.67,83.32,80,25,11.18
111,Kahului,US,2020-12-23 02:18:01,20.89,-156.47,84.2,51,40,4.7
112,La Union,PE,2020-12-23 02:19:16,-5.4,-80.75,73.17,66,100,15.9
113,Okhotsk,RU,2020-12-23 02:19:16,59.38,143.3,-10.8,80,12,20.31
114,Parana,AR,2020-12-23 02:14:18,-31.73,-60.52,71.01,52,0,1.01
115,Cedar City,US,2020-12-23 02:19:17,37.68,-113.06,41.0,17,1,8.05
116,Huilong,CN,2020-12-23 02:19:17,31.81,121.66,51.01,82,8,1.99
117,Sabang,ID,2020-12-23 02:19:18,5.89,95.32,80.98,74,69,16.28
118,Vila Franca Do Campo,PT,2020-12-23 02:19:18,37.72,-25.43,53.6,66,20,14.99
119,Dombas,NO,2020-12-23 02:19:18,62.07,9.12,23.56,91,98,6.02
120,Muravlenko,RU,2020-12-23 02:19:19,63.79,74.52,-30.12,86,39,7.63
121,Norman Wells,CA,2020-12-23 02:19:19,65.28,-126.83,-14.8,75,20,5.82
122,Dhemaji,IN,2020-12-23 02:19:19,27.48,94.58,53.6,76,0,3.33
123,Guarapari,BR,2020-12-23 02:19:20,-20.67,-40.5,78.01,88,75,5.82
124,Batagay-Alyta,RU,2020-12-23 02:19:20,67.8,130.41,-31.41,79,81,1.23
125,Komsomolskiy,UZ,2020-12-23 02:19:20,40.43,71.72,32.0,95,90,4.7
126,Kruisfontein,ZA,2020-12-23 02:19:21,-34.0,24.73,70.0,92,100,1.01
127,Turukhansk,RU,2020-12-23 02:19:22,65.82,87.98,-39.8,81,22,3.06
128,Chunoyar,RU,2020-12-23 02:19:22,57.45,97.32,-0.8,90,100,7.78
129,Clyde River,CA,2020-12-23 02:19:22,70.47,-68.59,5.0,92,100,27.51
130,Silver City,US,2020-12-23 02:14:46,32.77,-108.28,42.8,28,1,4.7
131,Bubaque,GW,2020-12-23 02:19:23,11.28,-15.83,80.47,63,95,8.34
132,Rong Kwang,TH,2020-12-23 02:19:23,18.34,100.32,64.99,100,74,2.55
133,Carutapera,BR,2020-12-23 02:19:24,-1.2,-46.02,78.03,81,35,5.88
134,Ancud,CL,2020-12-23 02:19:24,-41.87,-73.82,55.99,71,0,5.82
135,Emerald,AU,2020-12-23 02:19:25,-23.53,148.17,78.8,57,90,18.34
136,Bengkulu,ID,2020-12-23 02:15:16,-3.8,102.27,83.34,65,9,0.96
137,Zhireken,RU,2020-12-23 02:19:25,52.82,117.31,-2.33,88,100,1.61
138,New Norfolk,AU,2020-12-23 02:19:25,-42.78,147.06,69.01,56,95,7.0
139,Aykhal,RU,2020-12-23 02:19:26,66.0,111.5,-43.6,64,0,4.47
140,Berberati,CF,2020-12-23 02:19:26,4.26,15.79,67.46,42,30,1.12
141,Roma,US,2020-12-23 02:19:26,43.21,-75.46,33.8,59,90,20.8
142,Chagoda,RU,2020-12-23 02:19:26,59.16,35.33,24.84,98,98,6.58
143,Axim,GH,2020-12-23 02:19:27,4.87,-2.24,78.49,88,0,7.54
144,Georgetown,MY,2020-12-23 02:19:27,5.41,100.34,82.4,83,20,3.36
145,Marsh Harbour,BS,2020-12-23 02:19:27,26.54,-77.06,71.78,66,50,16.42
146,Tevaitoa,PF,2020-12-23 02:19:28,-16.78,-151.5,81.64,64,88,2.86
147,Coahuayana,MX,2020-12-23 02:19:28,18.73,-103.68,75.2,69,20,0.4
148,Mulege,MX,2020-12-23 02:19:28,26.88,-111.98,58.26,56,0,1.57
149,Santa Lucia,ES,2020-12-23 02:19:29,27.91,-15.54,66.99,67,0,6.93
150,Dese,ET,2020-12-23 02:14:58,11.13,39.63,47.62,79,49,1.01
151,Tamara,HN,2020-12-23 02:19:29,14.15,-87.33,69.01,93,40,4.7
152,Cidreira,BR,2020-12-23 02:19:29,-30.18,-50.21,66.97,71,0,7.43
153,Ciudad Bolivar,VE,2020-12-23 02:19:30,8.12,-63.55,77.81,81,73,10.89
154,Kupang,ID,2020-12-23 02:17:22,-10.17,123.58,80.6,94,75,2.24
155,Port Lincoln,AU,2020-12-23 02:19:31,-34.73,135.87,62.35,58,85,8.93
156,Bria,CF,2020-12-23 02:19:31,6.54,21.99,68.83,35,6,5.06
157,Pochutla,MX,2020-12-23 02:19:32,15.74,-96.47,75.99,75,0,2.59
158,Rawlins,US,2020-12-23 02:19:32,41.79,-107.24,19.4,73,90,11.41
159,Camacupa,AO,2020-12-23 02:19:32,-12.02,17.48,59.45,96,4,4.5
160,Inhambane,MZ,2020-12-23 02:19:32,-23.86,35.38,75.96,82,98,8.7
161,Avera,US,2020-12-23 02:19:33,33.19,-82.53,41.0,86,1,2.93
162,Narsaq,GL,2020-12-23 02:19:33,60.92,-46.05,33.8,50,100,5.82
163,Dikson,RU,2020-12-23 02:19:33,73.51,80.55,-31.81,82,0,11.18
164,Kurchum,KZ,2020-12-23 02:19:34,48.57,83.65,5.4,94,100,1.54
165,Mahon,ES,2020-12-23 02:19:34,39.89,4.27,57.2,82,38,8.05
166,Ati,TD,2020-12-23 02:19:34,13.22,18.34,72.05,21,0,8.48
167,Esperance,AU,2020-12-23 02:19:35,-33.87,121.9,69.8,49,0,10.29
168,Ketchikan,US,2020-12-23 02:19:35,55.34,-131.65,37.4,74,90,13.87
169,Riberalta,BO,2020-12-23 02:19:35,-10.98,-66.1,72.52,98,100,1.59
170,Nanortalik,GL,2020-12-23 02:19:36,60.14,-45.24,32.49,95,100,21.65
171,Dalbandin,PK,2020-12-23 02:19:36,28.89,64.41,43.16,59,0,5.32
172,Faanui,PF,2020-12-23 02:19:36,-16.48,-151.75,80.37,74,100,10.04
173,Pangody,RU,2020-12-23 02:19:37,65.85,74.49,-34.92,83,0,3.96
174,Alenquer,BR,2020-12-23 02:19:37,-1.94,-54.74,80.6,83,0,3.36
175,Juneau,US,2020-12-23 02:19:38,58.3,-134.42,35.6,80,90,20.8
176,Alofi,NU,2020-12-23 02:19:38,-19.06,-169.92,80.89,75,100,10.6
177,Bath,GB,2020-12-23 02:19:38,51.38,-2.36,52.0,96,91,7.09
178,Mildura,AU,2020-12-23 02:19:39,-34.2,142.15,73.99,33,0,6.93
179,Saint George,US,2020-12-23 02:19:14,37.1,-113.58,55.4,20,1,5.82
180,Urumqi,CN,2020-12-23 02:19:39,43.8,87.6,-0.4,84,40,2.24
181,Rumoi,JP,2020-12-23 02:15:18,43.93,141.64,32.0,82,75,11.1
182,Ixtapa,MX,2020-12-23 02:18:13,20.7,-105.2,71.6,88,75,2.24
183,Bilibino,RU,2020-12-23 02:19:41,68.05,166.44,-32.3,81,100,3.11
184,Aspindza,GE,2020-12-23 02:19:41,41.57,43.25,31.75,93,100,1.03
185,East London,ZA,2020-12-23 02:19:42,-33.02,27.91,69.12,79,5,5.68
186,Castro,BR,2020-12-23 02:19:43,-24.79,-50.01,61.52,96,53,9.15
187,Quelimane,MZ,2020-12-23 02:19:43,-17.88,36.89,84.2,83,0,5.82
188,Hithadhoo,MV,2020-12-23 02:19:43,-0.6,73.08,82.44,78,100,18.79
189,Martorell,ES,2020-12-23 02:19:44,41.47,1.93,54.0,93,100,1.12
190,Banda Aceh,ID,2020-12-23 02:19:44,5.56,95.32,80.04,77,92,11.05
191,Tuatapere,NZ,2020-12-23 02:19:44,-46.13,167.68,56.91,93,100,5.84
192,Jining,CN,2020-12-23 02:19:44,35.41,116.58,43.59,59,95,3.18
193,San Ramon De La Nueva Oran,AR,2020-12-23 02:19:45,-23.13,-64.33,79.0,51,78,1.99
194,Upernavik,GL,2020-12-23 02:19:45,72.79,-56.15,23.29,91,100,22.82
195,Arrifes,PT,2020-12-23 02:19:45,37.77,-25.7,53.6,66,20,14.99
196,Veraval,IN,2020-12-23 02:19:46,20.9,70.37,68.67,44,0,7.81
197,Vao,NC,2020-12-23 02:19:46,-22.67,167.48,77.04,68,34,4.72
198,Sinop,TR,2020-12-23 02:19:46,41.77,34.87,31.14,95,95,5.97
199,Mendeleyevsk,RU,2020-12-23 02:19:47,55.91,52.29,21.2,92,90,15.66
200,Inyonga,TZ,2020-12-23 02:19:47,-6.72,32.07,64.94,94,94,4.23
201,Itaituba,BR,2020-12-23 02:19:47,-4.28,-55.98,77.59,84,100,1.59
202,Leshukonskoye,RU,2020-12-23 02:19:49,64.9,45.76,33.26,96,100,6.89
203,Pabrade,LT,2020-12-23 02:19:49,55.0,25.78,32.0,94,90,11.41
204,Ulladulla,AU,2020-12-23 02:19:50,-35.35,150.47,72.0,56,40,17.22
205,Hobyo,SO,2020-12-23 02:19:50,5.35,48.53,76.78,74,75,21.79
206,Salalah,OM,2020-12-23 02:19:50,17.02,54.09,73.4,40,0,20.8
207,Mount Gambier,AU,2020-12-23 02:19:50,-37.83,140.77,62.6,63,90,11.41
208,Kyaukse,MM,2020-12-23 02:19:51,21.6,96.13,57.2,87,20,2.24
209,Bose,IT,2020-12-23 02:19:51,45.46,8.01,45.0,90,100,1.83
210,Mweka,CD,2020-12-23 02:19:52,-4.85,21.57,67.98,97,100,0.54
211,Lasa,IT,2020-12-23 02:19:53,46.62,10.7,33.8,56,5,5.82
212,Olafsvik,IS,2020-12-23 02:19:54,64.89,-23.71,33.39,82,9,14.12
213,Port Hedland,AU,2020-12-23 02:19:54,-20.32,118.57,96.8,18,99,16.11
214,Purpe,RU,2020-12-23 02:19:54,64.48,76.69,-36.22,83,0,4.25
215,Gorontalo,ID,2020-12-23 02:16:13,0.54,123.06,87.48,67,96,3.27
216,Evensk,RU,2020-12-23 02:19:55,61.95,159.23,-20.6,75,1,9.24
217,Hambantota,LK,2020-12-23 02:19:56,6.12,81.12,73.4,100,40,2.24
218,Bud,US,2020-12-23 02:19:56,39.45,-86.18,37.4,69,1,9.17
219,Bow Island,CA,2020-12-23 02:19:56,49.87,-111.37,21.2,85,94,13.87
220,Ostrovnoy,RU,2020-12-23 02:19:56,68.05,39.51,31.01,97,100,2.28
221,Ginir,ET,2020-12-23 02:19:57,7.13,40.7,56.23,67,42,4.9
222,Pevek,RU,2020-12-23 02:19:57,69.7,170.31,-9.36,88,100,15.35
223,Shache,CN,2020-12-23 02:19:57,38.42,77.24,17.65,93,100,3.36
224,Roebourne,AU,2020-12-23 02:19:58,-20.78,117.13,95.07,19,13,14.92
225,Iranshahr,IR,2020-12-23 02:19:58,27.2,60.68,48.94,51,0,1.48
226,Corinto,GR,2020-12-23 02:19:59,37.94,22.96,51.01,72,20,1.34
227,Kropotkin,RU,2020-12-23 02:19:59,45.44,40.58,27.9,96,73,11.45
228,Dunedin,NZ,2020-12-23 02:17:22,-45.87,170.5,57.0,92,100,11.01
229,Kotelnikovo,RU,2020-12-23 02:20:00,47.63,43.15,17.04,96,100,10.09
230,Geraldton,AU,2020-12-23 02:20:00,-28.77,114.6,102.2,10,0,27.51
231,Mar Del Plata,AR,2020-12-23 02:17:14,-38.0,-57.56,77.0,41,0,10.29
232,Ouadda,CF,2020-12-23 02:20:01,8.08,22.4,70.12,30,0,5.26
233,Yangambi,CD,2020-12-23 02:20:01,0.81,24.43,69.62,91,74,1.7
234,Gat,IL,2020-12-23 02:20:04,31.61,34.76,54.0,100,77,4.12
235,Entre Rios,BR,2020-12-23 02:20:04,-11.94,-38.08,70.05,97,0,4.7
236,Kavieng,PG,2020-12-23 02:20:04,-2.57,150.8,84.15,71,98,12.5
237,Whitehorse,CA,2020-12-23 02:20:05,60.72,-135.05,24.8,73,75,21.92
238,Somerset West,ZA,2020-12-23 02:20:05,-34.08,18.82,66.0,82,0,2.24
239,Souillac,MU,2020-12-23 02:20:06,-20.52,57.52,77.0,78,40,12.75
240,Kieta,PG,2020-12-23 02:20:06,-6.22,155.63,85.24,72,100,2.37
241,Aklavik,CA,2020-12-23 02:20:06,68.22,-135.01,-13.0,75,31,9.17
242,Leningradskiy,RU,2020-12-23 02:20:07,69.38,178.42,-8.48,90,100,12.1
243,Mount Isa,AU,2020-12-23 02:20:08,-20.73,139.5,84.2,58,7,10.29
